timestamp(ms),Mag_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,
"0","-96081.117188","0.036926","0.191248","0.924208","-6974.095703","3122.419922",
"0.049","41915.578125","0.026612","0.209029","0.900523","26761.146484","-2454.25",
"0.099","41798.140625","0.051367","0.247555","1.000197","26761.146484","-2411.02002",
"0.148","41210.921875","0.058587","0.283118","1.002171","27024.017578","-1676.109863",
"0.197","41093.46875","-0.004332","0.281142","0.667621","26980.205078","-1676.109863",
"0.247","37570.15625","0.051367","0.283118","0.990329","26498.271484","-1935.490234",
"0.297","37452.71875","0.05343","0.369061","0.985394","26498.271484","-1892.260254",
"0.347","36160.828125","0.042084","0.316705","0.972565","27286.888672","-897.969971",
"0.397","36043.390625","0.02558","0.319668","0.863022","27286.888672","-854.73999",
"0.447","33224.726562","0.050335","0.365109","0.884733","27286.888672","355.699951",
"0.496","33107.28125","0.05343","0.361158","0.9173","27286.888672","398.929932",
"0.545","32520.0625","0.037958","0.521189","0.939011","27812.634766","1652.599976",
"0.595","32402.617188","0.049304","0.370048","0.914339","27812.634766","1695.829956",
"0.645","30288.625","0.036926","0.541934","0.881772","27812.634766","2949.5",
"0.694","30171.1875","0.054461","0.45204","0.859074","27812.634766","2992.72998",
"0.744","25238.539062","0.040021","0.546873","0.861048","27812.634766","4981.310059",
"0.793","25121.09375","0.036926","0.536007","0.846245","27768.822266","4981.310059",
"0.842","23007.101562","0.077153","0.598242","0.812691","26761.146484","5240.689941",
"0.891","22889.65625","0.031769","0.59429","0.795914","26761.146484","5240.689941",
"0.941","17134.898438","0.10294","0.569594","0.68045","27812.634766","7531.879883",
"0.991","17017.453125","0.048272","0.736541","0.79098","27768.822266","7531.879883",
"1.041","9148.710938","0.076122","0.706905","0.689332","27024.017578","8828.779297",
"1.091","9031.265625","0.088499","0.781982","0.755452","27024.017578","8828.779297",
"1.141","1867.179688","0.142135","0.762225","0.600513","26980.205078","9606.919922",
"1.191","1749.734375","0.141104","0.721723","0.619264","25972.529297","9606.919922",
