timestamp(ms),Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z
0,0.086436,0.016398,0.997237,-7017.907715,3035.959961,-96081.117188
0.049,0.093657,0.002568,0.993289,19225.480469,-12181,42033.03125
0.099,0.079216,0.030228,0.968617,19225.480469,-12137.769531,41915.578125
0.149,0.078185,0.028252,0.973552,19225.480469,-11402.859375,40506.25
0.198,0.070964,0.049985,0.990329,19225.480469,-11402.859375,40506.25
0.248,0.081279,0.055912,1.003158,20014.097656,-11921.619141,42033.03125
0.298,0.057555,0.062827,1.016974,20014.097656,-11921.619141,42033.03125
0.348,0.052398,0.055912,0.970591,20233.15625,-11921.619141,42033.03125
0.397,0.026612,0.040107,0.955788,20233.15625,-11921.619141,42033.03125
0.447,0.048272,0.023313,1.028817,20496.029297,-12440.380859,42737.6875
0.496,0.031769,0.005532,1.013027,20496.029297,-12440.380859,42737.6875
0.547,0.010108,-0.02114,0.958749,21547.517578,-12699.759766,43442.359375
0.598,0.022486,-0.055715,0.967631,21503.705078,-12699.759766,43442.359375
0.649,0.045178,-0.013237,1.040659,20496.029297,-13477.900391,44851.6875
0.699,0.043115,-0.051763,1.002171,20496.029297,-13477.900391,44734.234375
0.749,0.030737,-0.107083,0.969604,22336.132812,-14472.189453,42033.03125
0.8,0.279319,-0.114986,1.020922,22292.320312,-14472.189453,42033.03125
0.85,0.035895,-0.141658,1.049541,22073.261719,-15769.089844,46378.453125
0.9,0.035895,-0.134743,0.995263,22029.449219,-15769.089844,46261.015625
0.951,0.05343,-0.195001,0.942959,20496.029297,-16806.609375,44147.015625
1.002,0.069933,-0.169317,1.013027,20452.216797,-16806.609375,44147.015625
1.053,0.050335,-0.200929,0.956775,19751.224609,-18579.039062,45673.796875
1.104,0.055493,-0.224637,0.99921,19751.224609,-18579.039062,45673.796875
1.155,0.049304,-0.252297,0.956775,20496.029297,-19097.798828,46378.453125
1.206,0.047241,-0.28292,0.938024,20496.029297,-19097.798828,46261.015625
1.257,0.023517,-0.319471,0.905457,20758.900391,-20870.228516,44147.015625
1.307,0.038989,-0.351082,0.941972,20715.089844,-20870.228516,44147.015625
1.357,0.065807,-0.354045,0.93309,20014.097656,-22685.888672,44969.125
1.408,0.034863,-0.459745,0.833416,20014.097656,-22685.888672,44969.125
1.459,0.086436,-0.342191,0.922234,20233.15625,-24458.318359,44969.125
1.51,0.042084,-0.434061,0.934077,20233.15625,-24458.318359,44969.125
1.563,0.036926,-0.432085,0.894602,20233.15625,-25236.458984,44969.125
1.615,0.036926,-0.48049,0.866969,20233.15625,-25236.458984,44851.6875
1.665,0.019391,-0.514077,0.850192,20233.15625,-27527.648438,43442.359375
1.716,0.028675,-0.545688,0.800849,20233.15625,-27527.648438,43324.90625
1.767,0.035895,-0.555567,0.817626,20758.900391,-28824.548828,42033.03125
1.818,0.033832,-0.559518,0.812691,20758.900391,-28824.548828,41915.578125
1.869,0.023517,-0.592117,0.792954,20758.900391,-30596.978516,39096.921875
1.922,0.034863,-0.626692,0.803809,20715.089844,-30596.978516,38979.484375
1.974,0.021454,-0.656327,0.703148,20233.15625,-31893.880859,37687.59375
2.024,0.016297,-0.645461,0.751505,20233.15625,-31893.880859,37570.15625
2.075,-0.004332,-0.701768,0.683411,21021.773438,-33968.921875,36982.9375
2.125,0.000825,-0.712635,0.681437,21021.773438,-33968.921875,36982.9375
2.176,0.016297,-0.765978,0.711043,21547.517578,-34963.210938,36982.9375
2.226,0.007014,-0.740294,0.615316,21547.517578,-34963.210938,36865.5
2.277,0.01836,-0.750173,0.639001,22073.261719,-36778.871094,35456.171875
2.327,0.01836,-0.79265,0.600513,22073.261719,-36778.871094,35338.71875
2.377,0.020423,-0.799565,0.55413,22073.261719,-37513.78125,31815.398438
2.428,0.015266,-0.813395,0.537353,22029.449219,-37513.78125,31697.953125
2.479,0.026612,-0.866739,0.544261,21547.517578,-39588.820312,28996.742188
2.529,0.004951,-0.88452,0.488996,21547.517578,-39588.820312,28879.296875
2.58,-0.007427,-0.830189,0.418928,21547.517578,-40366.960938,23124.546875
2.631,-0.025993,-0.893411,0.436692,21547.517578,-40366.960938,23007.101562
2.682,-0.025993,-0.933913,0.410046,21810.388672,-42658.152344,21010.554688
2.733,-0.033213,-0.924034,0.368598,21810.388672,-42658.152344,20893.109375
2.784,-0.033213,-0.89835,0.34886,23124.748047,-43955.050781,16665.125
2.834,-0.025993,-0.945767,0.335044,23080.9375,-43955.050781,16547.679688
2.885,-0.032182,-0.913168,0.296556,22336.132812,-45208.722656,13729.023438
2.936,-0.050748,-0.945767,0.336031,22292.320312,-45208.722656,13611.578125
2.987,0.01836,-0.99516,0.164315,21547.517578,-45727.480469,9383.59375
3.038,0.007014,-0.968488,0.204776,21547.517578,-45727.480469,9266.148438
3.09,-0.009489,-0.973427,0.20379,22336.132812,-46246.242188,5742.835938
3.141,-0.034244,-0.966512,0.183065,22336.132812,-46246.242188,5625.390625
3.192,-0.024961,-0.958609,0.19096,22861.876953,-46505.621094,3511.398438
3.243,-0.036307,-0.969475,0.191947,22818.064453,-46505.621094,3393.953125
3.295,-0.017741,-0.979354,0.119905,22336.132812,-48278.050781,575.296875
3.346,-0.027024,-1.002074,0.09326,22336.132812,-48234.820312,457.851562
3.396,-0.040433,-0.975403,0.076483,23387.621094,-47759.292969,-1538.695312
3.447,-0.055905,-1.010965,0.04589,23343.808594,-47759.292969,-1656.140625
3.498,-0.067251,-0.992196,-0.009375,23124.748047,-48796.8125,-7410.898438
3.549,-0.067251,-0.97639,0.021218,23124.748047,-48796.8125,-7528.335938
3.6,-0.078597,-0.717574,0.012336,24395.296875,-49574.949219,-11756.320312
3.651,-0.101289,-1.000099,-0.06464,24395.296875,-49531.722656,-11873.765625
3.702,-0.113667,-0.97639,-0.094247,24658.167969,-49315.570312,-13870.3125
3.753,-0.084786,-1.038625,-0.089312,24658.167969,-49315.570312,-13987.757812
3.804,-0.128107,-0.964536,-0.164315,25183.912109,-50353.089844,-18215.742188
3.856,-0.128107,-0.93984,-0.194908,25183.912109,-50353.089844,-18333.1875
3.908,-0.103352,-0.926998,-0.227475,25972.529297,-50612.472656,-24087.945312
3.96,-0.134296,-0.99022,-0.277805,25972.529297,-50569.242188,-24205.390625
4.011,-0.148736,-0.916132,-0.388335,26498.271484,-50353.089844,-29138.039062
4.062,-0.155957,-0.894399,-0.437679,26498.271484,-50353.089844,-29255.476562
4.113,-0.12295,-0.488393,-0.389322,26498.271484,-50828.621094,-37828.890625
4.164,-0.133265,-0.836116,-0.562025,26498.271484,-50785.390625,-37946.335938
4.215,-0.177617,-0.828213,-0.572881,27243.076172,-50353.089844,-48046.519531
4.265,-0.135327,-0.842043,-0.56992,27199.263672,-50309.859375,-48163.964844
4.315,-0.109541,-0.683987,-0.609395,26235.400391,-50093.710938,-56032.710938
4.366,-0.146674,-0.799565,-0.604461,26235.400391,-50050.480469,-56150.15625
