timestamp(ms),Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,
"113.725","-0.056937","-0.072508","1.002171","1077","242","-1318",
"113.771","-0.053842","-0.09918","1.000197","1071","236","-1336",
"113.817","-0.074471","-0.08535","0.970591","1071","236","-1336",
"113.864","-0.067251","-0.070532","0.994276","1071","236","-1336",
"113.909","-0.055905","-0.091277","0.98046","1065","218","-1330",
"113.955","-0.068283","-0.074484","0.975525","1065","218","-1330",
"114.002","-0.03837","-0.097204","1.021909","1077","224","-1324",
"114.048","-0.034244","-0.012249","1.009079","1077","224","-1324",
"114.094","-0.042496","-0.044848","1.001184","1059","212","-1318",
"114.141","-0.049716","-0.060654","0.976512","1059","212","-1318",
"114.188","-0.047653","-0.080411","0.971578","1065","206","-1330",
"114.234","-0.034244","-0.066581","1.011053","1065","206","-1330",
"114.28","-0.033213","-0.063618","1.003158","1083","206","-1300",
"114.326","-0.040433","-0.07152","1.01204","1083","206","-1300",
"114.372","-0.043528","-0.080411","0.985394","1083","206","-1300",
"114.418","-0.049716","-0.083374","0.974539","1053","206","-1318",
"114.465","-0.041465","-0.042873","0.992302","1053","206","-1318",
"114.511","-0.033213","-0.040897","1.006119","1071","201","-1324",
"114.557","-0.037339","-0.092265","1.008092","1071","201","-1324",
"114.604","-0.044559","-0.073496","1.007105","1041","212","-1336",
"114.651","-0.036307","-0.095229","1.041646","1041","212","-1336",
"114.698","-0.042496","-0.066581","1.066318","1065","230","-1349",
"114.743","-0.078597","-0.134743","0.886707","1065","230","-1349",
"114.79","-0.085817","-0.16339","1.007105","1095","289","-1349",
"114.837","-0.098195","-0.135731","0.937037","1095","289","-1349",
"114.884","-0.098195","0.042082","1.272575","1095","289","-1361",
"114.93","-0.098195","-0.167342","1.033751","1100","289","-1361",
"114.976","-0.127076","-0.231552","0.969604","1100","289","-1361",
"115.022","-0.168334","-0.23254","0.994276","1112","301","-1349",
"115.069","-0.164208","-0.184135","0.886707","1112","301","-1349",
"115.115","-0.183806","-0.2602","0.972565","1136","342","-1354",
"115.161","-0.193089","-0.240443","0.971578","1136","342","-1354",
"115.207","-0.189995","-0.288847","0.976512","1154","366","-1361",
"115.253","0.013203","-0.316507","0.896576","1154","366","-1361",
"115.299","-0.25704","-0.316507","0.894602","1189","413","-1349",
"115.345","-0.270449","-0.36096","0.90151","1189","413","-1349",
"115.391","-0.300361","-0.403438","0.772229","1189","413","-1349",
"115.437","-0.324085","-0.436037","0.784072","1219","479","-1349",
"115.484","-0.302424","-0.436037","0.876838","1219","479","-1349",
"115.53","-0.322022","-0.451842","0.873877","1231","508","-1336",
"115.576","-0.324085","-0.461721","0.840324","1231","508","-1336",
"115.623","-0.326147","-0.471599","0.813678","1248","549","-1336",
"115.67","-0.362249","-0.581251","0.741636","1248","549","-1336",
"115.716","-0.36328","-0.546676","0.801836","1260","597","-1312",
"115.763","-0.297267","-0.588166","0.874864","1260","597","-1312",
"115.809","-0.352965","-0.491356","0.649857","1254","662","-1312",
"115.855","-0.371532","-0.591129","0.645909","1254","662","-1312",
"115.901","-0.37772","-0.654351","0.670581","1254","662","-1288",
"115.947","-0.378752","-0.704732","0.661699","1278","703","-1288",
"115.993","-0.371532","-0.648424","0.683411","1278","703","-1288",
"116.04","-0.389067","-0.646449","0.616303","1296","739","-1281",
"116.086","-0.406601","-0.677072","0.564986","1296","739","-1281",
"116.132","-0.39835","-0.746221","0.570907","1302","792","-1251",
"116.179","-0.403507","-0.74227","0.590644","1302","792","-1251",
"116.226","-0.395255","-0.734367","0.584723","1284","822","-1233",
"116.272","-0.413822","-0.674108","0.558078","1284","822","-1233",
"116.318","-0.417947","-0.739307","0.521563","1307","839","-1226",
"116.365","-0.421042","-0.757088","0.487023","1307","839","-1226",
"116.411","-0.432388","-0.774869","0.265963","1319","875","-1214",
"116.457","-0.436514","-0.7561","0.462351","1319","875","-1214",
"116.504","-0.437545","-0.786723","0.420902","1319","875","-1214",
"116.55","-0.461269","-0.81142","0.373532","1361","922","-1172",
"116.596","-0.468489","-0.812407","0.294582","1361","922","-1172",
"116.642","-0.472615","-0.88452","0.302477","1355","952","-1135",
"116.688","-0.475709","-0.832164","0.310372","1355","952","-1135",
"116.735","-0.461269","-0.817347","0.362676","1378","963","-1117",
"116.782","-0.492212","-0.800553","0.514655","1378","963","-1117",
"116.828","-0.492212","-0.835128","0.312346","1384","975","-1086",
"116.875","-0.507684","-0.855873","0.243265","1384","975","-1086",
"116.922","-0.774832","-0.788699","0.201816","1396","1034","-1049",
"116.969","-0.535534","-0.864763","0.12484","1396","1034","-1049",
"117.016","-0.541723","-0.781784","0.085365","1396","1034","-1049",
"117.062","-0.551006","-0.800553","0.049837","1432","1058","-989",
"117.108","-0.56132","-0.774869","0.036021","1432","1058","-989",
"117.155","-0.540691","-0.867727","0.067601","1449","1064","-958",
"117.201","-0.571635","-0.842043","0.037008","1449","1064","-958",
"117.247","-0.543785","-0.925022","0.144577","1426","1076","-964",
"117.294","-0.516968","-0.739307","0.227475","1426","1076","-964",
"117.341","-0.533471","-0.881557","0.198855","1402","1070","-988",
"117.388","-0.565446","-0.81142","0.072535","1402","1070","-988",
"117.434","-0.602579","-0.828213","-0.074509","1426","1070","-940",
"117.48","-0.644868","-0.741282","-0.139643","1426","1070","-940",
"117.527","-0.641774","-0.726465","-0.173196","1426","1070","-830",
"117.574","-0.628365","-0.751161","-0.153459","1497","1076","-830",
"117.621","-0.634554","-0.745234","-0.142603","1497","1076","-830",
"117.668","-0.630428","-0.837104","-0.122866","1485","1088","-787",
"117.715","-0.651057","-0.733379","-0.228461","1485","1088","-787",
"117.762","-0.651057","-0.693865","-0.242278","1497","1088","-775",
"117.808","-0.673749","-0.72844","-0.253133","1497","1088","-775",
"117.854","-0.675812","-0.625704","-0.275831","1532","1070","-714",
"117.901","-0.672718","-0.699793","-0.283726","1532","1070","-714",
"117.947","-0.692316","-0.673121","-0.306425","1514","1064","-708",
"117.993","-0.671686","-0.657315","-0.302477","1514","1064","-708",
"118.039","-0.687158","-0.646449","-0.292608","1520","1040","-683",
"118.085","-0.689221","-0.556554","-0.373532","1520","1040","-683",
"118.132","-0.689221","-0.676084","-0.367611","1520","1040","-683",
"118.178","-0.694379","-0.588166","-0.430771","1544","1058","-622",
"118.225","-0.674781","-0.477526","-0.435705","1544","1058","-622",
"118.271","-0.712945","-0.574336","-0.509721","1568","1029","-586",
"118.318","-0.708819","-0.550627","-0.419915","1568","1029","-586",
"118.365","-0.700567","-0.309592","-0.413007","1568","1017","-524",
"118.411","-0.70263","-0.71461","-0.502813","1568","1017","-524",
"118.457","-0.678907","-0.500247","-0.472219","1580","1011","-506",
"118.504","-0.704693","-0.473575","-0.570907","1580","1011","-506",
"118.551","-0.701599","-0.42517","-0.591631","1579","993","-463",
"118.597","-0.671686","-0.460733","-0.80677","1579","993","-463",
"118.643","-0.664466","-0.386644","-0.642949","1579","993","-463",
"118.689","-0.684064","-0.378741","-0.563012","1591","969","-408",
"118.735","-0.671686","-0.376766","-0.625185","1591","969","-408",
"118.781","-0.682001","-0.367875","-0.613343","1585","952","-402",
"118.827","-0.663435","-0.382693","-0.605448","1585","952","-402",
"118.873","-0.657246","-0.342191","-0.679463","1579","993","-366",
"118.919","-0.665498","-0.331325","-0.581763","1579","993","-366",
"118.965","-0.662403","-0.325398","-0.708082","1591","958","-372",
"119.011","-0.68819","-0.288847","-0.628146","1591","958","-372",
"119.057","-0.692316","-0.207844","-0.616303","1568","952","-329",
"119.104","-0.689221","-0.208831","-0.694266","1568","952","-329",
"119.15","-0.676844","-0.19105","-0.667621","1568","952","-329",
"119.196","-0.694379","-0.137706","-0.686371","1591","904","-305",
"119.243","-0.68819","-0.133755","-0.721899","1591","904","-305",
"119.289","-0.700567","-0.097204","-0.654791","1574","893","-286",
"119.335","-0.682001","-0.092265","-0.695253","1574","893","-286",
"119.382","-0.692316","-0.059666","-0.710056","1597","857","-286",
"119.428","-0.711913","-0.063618","-0.668608","1597","857","-286",
"119.474","-0.689221","-0.039909","-0.708082","1597","851","-262",
"119.521","-0.70263","-0.022128","-0.698214","1597","851","-262",
"119.568","-0.707788","-0.006322","-0.705122","1603","845","-250",
"119.615","-0.701599","-0.017189","-0.689332","1603","845","-250",
"119.661","-0.696441","-0.012249","-0.689332","1603","845","-250",
"119.707","-0.700567","0.012447","-0.711043","1597","827","-256",
"119.754","-0.725322","0.012447","-0.66466","1597","827","-256",
"119.8","-0.712945","0.024301","-0.703148","1597","827","-250",
"119.847","-0.716039","0.005532","-0.663673","1597","827","-250",
"119.893","-0.724291","-0.003359","-0.732754","1603","827","-250",
"119.939","-0.732543","0.009483","-0.678476","1603","827","-250",
