timestamp(ms),Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,
"0","191","107","1070","581","349","-1161",
"0.044","157","-7","1070","581","349","-1161",
"0.088","96","31","1060","611","308","-1173",
"0.133","125","-2","856","611","308","-1173",
"0.177","104","6","838","611","308","-1173",
"0.222","20","63","1002","611","296","-1186",
"0.268","73","-49","949","611","296","-1186",
"0.313","85","106","1081","623","314","-1192",
"0.358","127","4","1020","623","314","-1192",
"0.403","122","65","954","641","302","-1167",
"0.448","39","60","1064","641","302","-1167",
"0.493","120","132","1062","647","266","-1161",
"0.538","56","145","894","647","266","-1161",
"0.584","56","101","1046","647","266","-1161",
"0.63","19","230","960","658","219","-1148",
"0.675","3","208","948","658","219","-1148",
"0.72","36","322","953","670","118","-1099",
"0.764","87","285","915","670","118","-1099",
"0.809","6","284","908","694","106","-1086",
"0.854","37","404","948","694","106","-1086",
"0.899","125","460","791","676","47","-1068",
"0.944","71","381","899","676","47","-1068",
"0.989","90","520","870","676","47","-1068",
"1.034","22","454","796","682","17","-1005",
"1.08","4","478","827","682","17","-1005",
"1.125","92","684","513","712","-42","-968",
"1.17","39","443","742","712","-42","-968",
"1.215","30","684","746","724","-83","-925",
"1.26","36","544","743","724","-83","-925",
"1.305","31","645","692","700","-101","-894",
"1.351","-27","739","809","700","-101","-894",
"1.396","-15","678","701","700","-101","-894",
"1.441","72","643","592","718","-107","-856",
"1.487","11","697","630","718","-107","-856",
"1.532","154","731","615","730","-143","-825",
"1.578","17","751","591","730","-143","-825",
"1.623","90","816","629","712","-149","-782",
"1.669","-39","817","556","712","-149","-782",
"1.715","51","757","552","730","-161","-757",
"1.76","32","775","525","730","-161","-757",
"1.805","250","761","478","730","-161","-738",
"1.851","31","893","579","735","-178","-738",
"1.897","-50","898","438","735","-178","-738",
"1.943","5","645","314","759","-178","-714",
"1.989","-52","951","478","759","-178","-714",
"2.035","-43","851","482","777","-202","-689",
"2.08","-136","740","317","777","-202","-689",
"2.126","-137","773","426","813","-208","-645",
"2.172","-93","1001","472","813","-208","-645",
"2.218","-93","816","353","854","-226","-608",
"2.263","-112","867","278","854","-226","-608",
"2.309","-108","812","225","854","-226","-608",
"2.354","-36","905","313","854","-226","-534",
"2.399","-394","925","189","854","-226","-534",
"2.445","-174","833","342","848","-238","-496",
"2.491","-49","900","223","848","-238","-496",
"2.536","-50","1245","308","836","-226","-484",
"2.581","-166","816","7","836","-226","-484",
"2.627","-392","1128","-160","848","-232","-490",
"2.672","-122","941","195","848","-232","-490",
"2.718","-163","956","291","848","-232","-490",
"2.764","-130","752","234","878","-208","-428",
"2.809","-186","888","9","878","-208","-428",
"2.854","-177","1014","4","890","-202","-384",
"2.899","-192","996","-18","890","-202","-384",
"2.944","-190","855","-86","878","-184","-329",
"2.99","-197","1026","16","878","-184","-329",
"3.035","-195","844","-85","901","-172","-279",
"3.081","-187","876","-172","901","-172","-279",
"3.127","-186","934","-120","901","-172","-223",
"3.173","-197","914","-220","901","-155","-223",
"3.219","-194","913","-120","901","-155","-223",
"3.264","-205","926","-105","890","-143","-217",
"3.31","-208","923","-120","890","-143","-217",
"3.355","-215","883","-146","901","-143","-204",
"3.401","-222","991","-121","901","-143","-204",
"3.446","-225","941","-146","896","-149","-223",
"3.493","-216","891","-135","896","-149","-223",
