timestamp(ms),AccelX,AccelY,AccelZ,Accelx,Accely,Accelz,
"1739557825.665","0",,,,,,
"1739557825.667",,"0.02",,,,,
"1739557825.668",,,"0.997",,,,
"1739557825.67",,,,"-5",,,
"1739557825.672",,,,,"-17",,
"1739557825.673",,,,,,"986",
"1739557825.68","-0.002",,,,,,
"1739557825.681",,"0.02",,,,,
"1739557825.683",,,"0.995",,,,
"1739557825.684",,,,"-11",,,
"1739557825.686",,,,,"-18",,
"1739557825.688",,,,,,"983",
"1739557825.694","-0.003",,,,,,
"1739557825.695",,"0.017",,,,,
"1739557825.699",,,"1",,,,
"1739557825.7",,,,"-10",,,
"1739557825.701",,,,,"-26",,
"1739557825.702",,,,,,"998",
"1739557825.708","-0.003",,,,,,
"1739557825.71",,"0.017",,,,,
"1739557825.712",,,"0.997",,,,
"1739557825.713",,,,"-9",,,
"1739557825.714",,,,,"-19",,
"1739557825.716",,,,,,"977",
"1739557825.723","-0.004",,,,,,
"1739557825.725",,"0.016",,,,,
"1739557825.726",,,"0.998",,,,
"1739557825.728",,,,"-14",,,
"1739557825.729",,,,,"-25",,
"1739557825.731",,,,,,"992",
"1739557825.737","-0.005",,,,,,
"1739557825.739",,"0.015",,,,,
"1739557825.74",,,"0.998",,,,
"1739557825.742",,,,"-19",,,
"1739557825.743",,,,,"-27",,
"1739557825.745",,,,,,"986",
"1739557825.752","-0.006",,,,,,
"1739557825.753",,"0.016",,,,,
"1739557825.756",,,"0.998","-14",,,
"1739557825.758",,,,,"-19",,
"1739557825.759",,,,,,"990",
"1739557825.766","-0.006",,,,,,
"1739557825.768",,"0.015",,,,,
"1739557825.769",,,"0.999",,,,
"1739557825.771",,,,"-13",,,
"1739557825.772",,,,,"-23",,
"1739557825.774",,,,,,"990",
"1739557825.78","-0.006",,,,,,
"1739557825.781",,"0.016",,,,,
"1739557825.783",,,"0.998",,,,
"1739557825.785",,,,"-15",,,
"1739557825.786",,,,,"-21",,
"1739557825.788",,,,,,"980",
"1739557825.795","-0.006",,,,,,
"1739557825.797",,"0.015",,,,,
"1739557825.798",,,"0.998",,,,
"1739557825.8",,,,"-12",,,
"1739557825.801",,,,,"-27",,
"1739557825.803",,,,,,"988",
"1739557825.809","-0.007",,,,,,
"1739557825.811",,"0.015",,,,,
"1739557825.812",,,"0.997",,,,
"1739557825.814",,,,"-8",,,
"1739557825.815",,,,,"-17",,
"1739557825.817",,,,,,"980",
"1739557825.824","-0.006",,,,,,
"1739557825.825",,"0.015",,,,,
"1739557825.827",,,"0.999",,,,
"1739557825.828",,,,"-7",,,
"1739557825.83",,,,,"-23",,
"1739557825.831",,,,,,"996",
"1739557825.839","-0.007",,,,,,
"1739557825.84",,"0.015",,,,,
"1739557825.841",,,"0.997",,,,
"1739557825.843",,,,"-16",,,
"1739557825.845",,,,,"-17",,
"1739557825.846",,,,,,"982",
"1739557825.852","-0.007",,,,,,
"1739557825.854",,"0.015",,,,,
"1739557825.855",,,"0.998",,,,
"1739557825.857",,,,"-12",,,
"1739557825.858",,,,,"-23",,
"1739557825.86",,,,,,"985",
"1739557825.867","-0.007",,,,,,
"1739557825.868",,"0.015",,,,,
"1739557825.87",,,"0.998",,,,
"1739557825.871",,,,"-11",,,
