timestamp(ms),AccelX,AccelY,AccelZ,Accelx,Accely,Accelz,
"1739559393.548","-6450.653",,,,,,
"1739559393.55",,"-1414.391",,,,,
"1739559393.551",,,"-32807.722",,,,
"1739559393.552",,,,"88",,,
"1739559393.554",,,,,"-70",,
"1739559393.556",,,,,,"-728",
"1739559393.563","-6450.653",,,,,,
"1739559393.565",,"-1414.391",,,,,
"1739559393.567",,,"-32807.722",,,,
"1739559393.568",,,,"88",,,
"1739559393.57",,,,,"-70",,
"1739559393.572",,,,,,"-728",
"1739559393.578","-6450.653",,,,,,
"1739559393.58",,"-1414.391",,,,,
"1739559393.582",,,"-32807.722",,,,
"1739559393.584",,,,"88",,,
"1739559393.585",,,,,"-70",,
"1739559393.587",,,,,,"-728",
"1739559393.594","-6450.653",,,,,,
"1739559393.595",,"-1414.391",,,,,
"1739559393.597",,,"-32807.722",,,,
"1739559393.599",,,,"88",,,
"1739559393.601",,,,,"-70",,
"1739559393.602",,,,,,"-728",
"1739559393.61","-6450.653",,,,,,
"1739559393.612",,"-1414.391",,,,,
"1739559393.613",,,"-32807.722",,,,
"1739559393.615",,,,"88",,,
"1739559393.618",,,,,"-70","-728",
"1739559393.625","-6450.653",,,,,,
"1739559393.627",,"-1414.391",,,,,
"1739559393.63",,,"-32807.722","88",,,
"1739559393.632",,,,,"-70",,
"1739559393.634",,,,,,"-728",
"1739559393.64","-6450.653",,,,,,
"1739559393.642",,"-1414.391",,,,,
"1739559393.644",,,"-32807.722",,,,
"1739559393.646",,,,"88",,,
"1739559393.647",,,,,"-70",,
"1739559393.649",,,,,,"-728",
"1739559393.656","-6702.796",,,,,,
"1739559393.658",,"-1414.391",,,,,
"1739559393.66",,,"-32052.796",,,,
"1739559393.661",,,,"82",,,
"1739559393.663",,,,,"-70",,
"1739559393.664",,,,,,"-716",
"1739559393.671","-6702.796",,,,,,
"1739559393.674",,"-1414.391",,,,,
"1739559393.675",,,"-32052.796",,,,
"1739559393.677",,,,"82",,,
"1739559393.678",,,,,"-70",,
"1739559393.68",,,,,,"-716",
"1739559393.686","-6702.796",,,,,,
"1739559393.688",,"-1414.391",,,,,
"1739559393.69",,,"-32052.796",,,,
"1739559393.692",,,,"82",,,
"1739559393.693",,,,,"-70",,
"1739559393.695",,,,,,"-716",
"1739559393.702","-6702.796",,,,,,
"1739559393.704",,"-1414.391",,,,,
"1739559393.706",,,"-32052.796",,,,
"1739559393.708",,,,"82",,,
"1739559393.709",,,,,"-70",,
"1739559393.711",,,,,,"-716",
"1739559393.718","-6702.796",,,,,,
"1739559393.72",,"-1414.391",,,,,
"1739559393.722",,,"-32052.796",,,,
"1739559393.724",,,,"82",,,
"1739559393.725",,,,,"-70",,
"1739559393.727",,,,,,"-716",
"1739559393.734","-6702.796",,,,,,
"1739559393.736",,"-1414.391",,,,,
"1739559393.738",,,"-32052.796",,,,
"1739559393.739",,,,"82",,,
"1739559393.741",,,,,"-70",,
"1739559393.743",,,,,,"-716",
"1739559393.751","-6450.653","-773.2",,,,,
"1739559393.753",,,"-31675.336",,,,
"1739559393.755",,,,"88",,,
"1739559393.756",,,,,"-53",,
"1739559393.758",,,,,,"-710",
"1739559393.766","-6450.653",,,,,,
"1739559393.767",,"-773.2",,,,,
"1739559393.769",,,"-31675.336",,,,
"1739559393.771",,,,"88",,,
"1739559393.772",,,,,"-53",,
"1739559393.774",,,,,,"-710",
"1739559393.781","-6450.653",,,,,,
"1739559393.782",,"-773.2",,,,,
"1739559393.784",,,"-31675.336",,,,
"1739559393.786",,,,"88",,,
"1739559393.788",,,,,"-53",,
"1739559393.79",,,,,,"-710",
"1739559393.796","-6450.653",,,,,,
"1739559393.798",,"-773.2",,,,,
"1739559393.799",,,"-31675.336",,,,
"1739559393.802",,,,"88",,,
"1739559393.803",,,,,"-53",,
"1739559393.804",,,,,,"-710",
"1739559393.812","-6450.653",,,,,,
"1739559393.814",,"-773.2",,,,,
"1739559393.815",,,"-31675.336",,,,
"1739559393.818",,,,"88",,,
"1739559393.819",,,,,"-53",,
"1739559393.82",,,,,,"-710",
"1739559393.827","-6450.653",,,,,,
"1739559393.83",,"-773.2",,,,,
"1739559393.831",,,"-31675.336",,,,
"1739559393.832",,,,"88",,,
"1739559393.834",,,,,"-53",,
"1739559393.836",,,,,,"-710",
"1739559393.843","-6450.653",,,,,,
"1739559393.844",,"-773.2",,,,,
"1739559393.847",,,"-31675.336","88",,,
"1739559393.85",,,,,"-53",,
"1739559393.851",,,,,,"-710",
"1739559393.858","-6702.796",,,,,,
"1739559393.86",,"-999.503",,,,,
"1739559393.862",,,"-32052.796",,,,
"1739559393.863",,,,"82",,,
"1739559393.866",,,,,"-59","-716",
"1739559393.873","-6702.796",,,,,,
"1739559393.876",,"-999.503",,,,,
"1739559393.877",,,"-32052.796",,,,
"1739559393.878",,,,"82",,,
"1739559393.88",,,,,"-59",,
"1739559393.882",,,,,,"-716",
"1739559393.889","-6702.796",,,,,,
"1739559393.892",,"-999.503",,,,,
"1739559393.894",,,"-32052.796","82",,,
"1739559393.896",,,,,"-59",,
"1739559393.898",,,,,,"-716",
"1739559393.906","-6702.796",,,,,,
"1739559393.908",,"-999.503",,,,,
"1739559393.91",,,"-32052.796","82",,,
"1739559393.912",,,,,"-59",,
"1739559393.914",,,,,,"-716",
"1739559393.92","-6702.796",,,,,,
"1739559393.923",,"-999.503",,,,,
"1739559393.924",,,"-32052.796",,,,
"1739559393.926",,,,"82",,,
"1739559393.927",,,,,"-59",,
"1739559393.929",,,,,,"-716",
"1739559393.936","-6702.796",,,,,,
"1739559393.938",,"-999.503",,,,,
"1739559393.939",,,"-32052.796",,,,
"1739559393.942",,,,"82","-59",,
"1739559393.944",,,,,,"-716",
"1739559393.951","-6954.939",,,,,,
"1739559393.954",,"-1414.391",,,,,
"1739559393.955",,,"-32430.26",,,,
"1739559393.957",,,,"76",,,
"1739559393.958",,,,,"-70",,
"1739559393.96",,,,,,"-722",
"1739559393.967","-6954.939",,,,,,
"1739559393.968",,"-1414.391",,,,,
"1739559393.971",,,"-32430.26",,,,
